id,name,lat,lon
358950685,Living Water Tabernacle,39.6855556,-104.9855556
358950693,Macedonia Baptist Church,39.7623223,-104.9483231
358950697,Messiah Baptist Church,39.7769444,-105.0297222
358950699,Most Precious Blood Catholic Church,39.6763061,-104.9418113
358950704,Mother of God Church,39.7238889,-104.9827778
358950707,Mount Calvary Apostolic Church,39.709134,-104.9823164
358950710,Mount Calvary Lutheran Church,39.7667761,-104.9593321
358950713,Mountain View Baptist Church,39.7120448,-105.0381134
358950716,Mountain View Community Reformed Church,39.69,-105.0386111
358950718,New Jerusalem Baptist Church,39.7652922,-104.9744229
358950723,New Life Fellowship Church,39.6975,-105.0213889
358950725,New Testament Holiness Church,39.7596995,-104.9664441
358950728,North Presbyterian Church,39.7677778,-105.0258333
358950730,Our Lady of Grace Church,39.7841667,-104.9555556
358950735,Our Lady of Lourdes Parish,39.6752223,-104.9823074
358950744,Park Hill United Church of Christ,39.7552622,-104.9147792
358950747,Park Hill Presbyterian Church,39.7647684,-104.9397548
358950749,Park Hill Seventh Day Adventist Church,39.7640451,-104.9397109
358950752,People's Presbyterian Church,39.7567468,-104.9594407
358950754,Praise Center Church,39.69,-105.0269444
358950757,Presentation of Our Lady Church,39.7274263,-105.0309786
358950760,Providence Orthodox Presbyterian Church,39.6678831,-104.9739393
358950765,Redeemer Lutheran Church,39.7099912,-105.0302149
358950767,Rocky Mountain Miracle Center,39.6812006,-104.9455127
358950772,Saint Andrew Presbyterian Church,39.6566667,-105.0527778
358950777,Saint Catherine of Siena Church,39.7744444,-105.0247222
358950779,Saint Dominics Church,39.7588889,-105.0258333
358950784,Saint John's At Washington Park Church,39.7036111,-104.9683333
358950786,Saint Joseph Polish Catholic Church,39.7802778,-104.9811111
358950799,Saint Luke Christian Methodist Episcopal Church,39.7648863,-104.9458568
358950802,Saint Marks Orthodox Church,39.6909708,-104.9632314
358950806,Saint Mary Magdalane Church,39.7575,-105.0525
358950808,Saint Mary's Church,39.675086,-104.9548519
358950811,Saint Michael And All Angels Church,39.6908997,-104.9589182
358950818,Saint Philip And Saint James Episcopal Church,39.665,-105.035
358950821,Saint Rose of Lima Catholic Church,39.7099587,-105.0042996
358950827,Second Christian Reformed Church,39.6824609,-104.9762099
358950829,Seventh Avenue United Church of Christ,39.7275,-105.0336111
358950832,Shiloh Baptist Church,39.7640655,-104.9155525
358950834,Sixth Avenue United Church,39.7252909,-104.9489591
358950836,Sloan's Lake Community Church of God,39.7572222,-105.045
358950839,Templo Sion,39.7038889,-105.0347222
358950842,Third Christian Reformed Church,39.6731134,-104.93781
358950845,Transfiguration of Our Lord Church,39.7730556,-105.0097222
358950847,Trinity Lutheran Church,39.6683333,-105.0430556
358950850,Triumphant Lutheran Church,39.6855579,-104.9837746
358950852,True Faith Church of God in Christ,39.7492316,-104.9656791
358950855,Un Encuentro Con Dios,39.7297222,-105.0319444
358950860,University Church of Christ,39.6798877,-104.9518478
358950863,University Hills Baptist Church,39.6666667,-104.9358333
358950865,University View Christian Church,39.6863078,-104.9352559
358950867,Valverde Community Church,39.7086827,-105.0107414
358950871,Warren United Methodist Church,39.7380185,-104.967618
358950874,Washington Park Chapel,39.6983333,-104.9808333
358950877,Washington Park United Church,39.7091667,-104.9661111
358950885,Wat Buddhawararam,39.7841667,-105.0313889
358950893,Wellshire Presbyterian Church,39.6630534,-104.9413096
358950902,Westside Christian Fellowship Church,39.7226272,-105.0328207
358950945,Holy Ghost Catholic Church,39.7480954,-104.9879637
358950966,Saint Peter And Saint Mary Episcopal Church,39.7190877,-104.9897987
358950968,South Broadway Christian Church,39.7167498,-104.9865488
358950970,First Baptist Church of Denver,39.7381609,-104.9839994
358950990,Unity Temple of Pratical Christianity,39.7410235,-104.9638107
358950997,Saint Luke's Episcopal Church,39.7369898,-104.9042406
358950999,Blessed Sacrament Catholic Church,39.7468805,-104.9306536
358951002,Mountview Boulevard Presbyterian Church,39.7469487,-104.9318013
358951004,Saint Thomas Episcopal Church,39.7497222,-104.9333333
358951161,Pilgrim Chapel,39.7908333,-105.0322222
358951168,Arvada Christian Church,39.8094444,-105.0872222
358951170,Arvada Church of Christ,39.8193525,-105.129488
358951172,Arvada Mennonite Church,39.8041667,-105.115
358951176,Arvada Presbyterian Church,39.7977778,-105.1044444
358951178,Arvada United Methodist Church,39.8188889,-105.0902778
358951181,Centerpoint Community Church,39.8097222,-105.1008333
358951183,Christ Community Covenant Church,39.8452778,-105.1305556
358951186,Christ The King Episcopal Church,39.8147222,-105.0905556
358951189,The Church of Jesus Christ of Latter-day Saints,39.8158333,-105.1227778
358951196,Community In Christ Lutheran Church,39.8427778,-105.1355556
358951198,Denver Church of Christ,39.8222222,-105.0922222
358951203,Hillcrest Baptist Church,39.8080556,-105.1383333
358951205,Korean Presbyterian Church,39.8383333,-105.1108333
358951208,Northwest Community Church,39.8416085,-105.1307856
358951210,Northwest Friends Church,39.8172222,-105.1083333
358951213,Peace Lutheran Church,39.7997222,-105.0986111
358951215,Saint Anne's Catholic Church,39.8013889,-105.0805556
358951217,Saint Joan of Arc Catholic Church,39.8025,-105.1422222
358951220,Ward Road Baptist Church,39.8037459,-105.1365816
358951222,Beth Eden Baptist Church,39.7561111,-105.0802778
358951224,Edgewater United Methodist Church,39.7527416,-105.0606105
358951227,Emmauel Church,39.7541667,-105.0677778
358951229,Fellowship Bible Church,39.7541667,-105.0677778
358951232,Templo Tu Iglesia,39.7552778,-105.0577778
358951234,Calvary Baptist Church,39.7369444,-105.1925
358951236,Calvary Episcopal Church,39.7538889,-105.2216667
358951241,The Church of Jesus Christ of Latter-day Saints,39.7616667,-105.1758333
